 ,Area,Mean,Min,Max,X,Y,Slice,Counter,Count
1,0,163,163,163,2,4,1,0,69
2,0,11,11,11,125,36,2,0,69
3,0,7,7,7,127,34,3,0,69
4,0,10,10,10,125,38,4,0,69
5,0,10,10,10,126,37,5,0,69
6,0,10,10,10,117,39,6,0,69
7,0,11,11,11,127,37,7,0,69
8,0,9,9,9,120,40,8,0,69
9,0,14,14,14,130,40,9,0,69
10,0,6,6,6,130,37,10,0,69
11,0,16,16,16,119,46,11,0,69
12,0,10,10,10,110,44,12,0,69
13,0,11,11,11,126,50,13,0,69
14,0,11,11,11,127,47,14,0,69
15,0,12,12,12,128,57,15,0,69
16,0,12,12,12,121,53,16,0,69
17,0,11,11,11,123,53,17,0,69
18,0,13,13,13,90,67,18,0,69
19,0,11,11,11,60,364,19,0,69
20,0,13,13,13,278,341,20,0,69
21,0,10,10,10,53,364,21,0,69
22,0,7,7,7,43,381,22,0,69
23,0,12,12,12,220,359,23,0,69
24,0,12,12,12,86,340,24,0,69
25,0,11,11,11,220,386,25,0,69
26,0,11,11,11,252,379,26,0,69
27,0,8,8,8,224,387,27,0,69
28,0,12,12,12,228,385,28,0,69
29,0,11,11,11,236,381,29,0,69
30,0,13,13,13,269,46,30,0,69
31,0,12,12,12,242,43,31,0,69
32,0,132,132,132,167,43,32,0,69
33,0,12,12,12,230,62,33,0,69
34,0,14,14,14,184,61,34,0,69
35,0,11,11,11,237,378,35,0,69
36,0,13,13,13,249,367,36,0,69
37,0,9,9,9,250,364,37,0,69
38,0,8,8,8,244,372,38,0,69
39,0,13,13,13,229,24,39,0,69
40,0,83,83,83,2,1,40,0,69
41,0,18,18,18,134,37,41,0,69
42,0,16,16,16,110,34,42,0,69
43,0,18,18,18,112,42,43,0,69
44,0,9,9,9,117,41,44,0,69
45,0,9,9,9,120,40,45,0,69
46,0,11,11,11,120,42,46,0,69
47,0,6,6,6,123,43,47,0,69
48,0,13,13,13,120,41,48,0,69
49,0,76,76,76,3,1,49,0,69
50,0,11,11,11,117,39,50,0,69
51,0,10,10,10,118,40,51,0,69
52,0,11,11,11,117,39,52,0,69
53,0,14,14,14,115,40,53,0,69
54,0,9,9,9,115,38,54,0,69
55,0,11,11,11,118,40,55,0,69
56,0,12,12,12,117,41,56,0,69
57,0,13,13,13,116,41,57,0,69
58,0,124,124,124,1,3,58,0,69
59,0,111,111,111,1,3,59,0,69
60,0,115,115,115,1,3,60,0,69
61,0,114,114,114,1,3,61,0,69
62,0,115,115,115,1,3,62,0,69
63,0,121,121,121,1,3,63,0,69
64,0,113,113,113,1,3,64,0,69
65,0,106,106,106,1,3,65,0,69
66,0,111,111,111,1,3,66,0,69
67,0,108,108,108,1,3,67,0,69
68,0,107,107,107,1,3,68,0,69
69,0,109,109,109,1,3,69,0,69
